mineral,use,source_country1,status1,score1,source_country2,status2,score2,source_country3,status3,score3,source_country4,status4,score4,source_country5,status5,score5,overall_score,us_demand
Magnesium,used as an alloy and for reducing metals,China,competitor,3,Russia,competitor,3,Israel,ally,1,Kazakhstan,ally,1,Brazil,neutral,2,10,High
Manganese,used in steelmaking and batteries,China,competitor,3,South Africa,neutral,2,Australia,ally,1,Gabon,neutral,2,Brazil,neutral,2,10,High
Neodymium,used in permanent magnets,China,competitor,3,Australia,ally,1,United States,ally,1,Brazil,neutral,2,Russia,competitor,3,10,High
Nickel,used to make stainless steel,Indonesia,ally,1,Philippines,ally,1,Russia,competitor,3,New Caledonia,ally,1,Australia,ally,1,7,High
Niobium,used mostly in steel and superalloys,Brazil,neutral,2,Canada,ally,1,Nigeria,ally,1,Rwanda,ally,1,Australia,ally,1,6,High
Palladium,used in catalytic converters and as a catalyst agent,Russia,competitor,3,South Africa,neutral,2,Canada,ally,1,Zimbabwe,neutral,2,United States,ally,1,9,High
Platinum,used in catalytic converters,South Africa,neutral,2,Russia,competitor,3,Zimbabwe,neutral,2,Canada,ally,1,United States,ally,1,9,High
Praseodymium,used in permanent magnets,China,competitor,3,Myanmar,competitor,3,Brazil,neutral,2,India,ally,1,Russia,competitor,3,12,High
Rhodium,used in catalytic converters,South Africa,neutral,2,Russia,competitor,3,Zimbabwe,neutral,2,Canada,ally,1,United States,ally,1,9,Mediun
Rubidium,used for research and development in electronics,Canada,ally,1,Zimbabwe,neutral,2,Russia,competitor,3,Namibia,ally,1,Brazil,neutral,2,9,Mediun
Ruthenium,used as catalysts,Russia,competitor,3,South Africa,neutral,2,Zimbabwe,neutral,2,Canada,ally,1,United States,ally,1,9,Mediun
Samarium,used in permanent magnets,China,competitor,3,Brazil,neutral,2,India,ally,1,Russia,competitor,3,Malaysia,ally,1,10,Mediun
Scandium,used for alloys,China,competitor,3,Russia,competitor,3,Ukraine,ally,1,Kazakhstan,ally,1,Australia,ally,1,9,Mediun
Tantalum,used in electronic components,Democratic Republic of Congo,neutral,2,Rwanda,ally,1,Nigeria,ally,1,Brazil,neutral,2,China,competitor,3,9,High
Tellurium,used in solar cells,China,competitor,3,Peru,ally,1,Japan,ally,1,Canada,ally,1,United States,ally,1,7,Mediun
Terbium,used in permanent magnets,China,competitor,3,Brazil,neutral,2,Russia,competitor,3,India,ally,1,Malaysia,ally,1,10,Mediun
Thulium,used in various metal alloys and in lasers,China,competitor,3,Brazil,neutral,2,Russia,competitor,3,United States,ally,1,Malaysia,ally,1,10,Mediun
Tin,used as protective coatings and alloys for steel,China,competitor,3,Indonesia,ally,1,Myanmar,competitor,3,Peru,ally,1,Bolivia,competitor,3,11,High
Titanium,used as a white pigment or metal alloys,China,competitor,3,Australia,ally,1,South Africa,neutral,2,India,ally,1,Canada,ally,1,8,High
Tungsten,primarily used to make wear-resistant metals,China,competitor,3,Russia,competitor,3,Vietnam,ally,1,Bolivia,competitor,3,Portugal,ally,1,11,High
Vanadium,primarily used as alloying agent for iron and steel,China,competitor,3,Russia,competitor,3,South Africa,neutral,2,Brazil,neutral,2,United States,ally,1,11,High
Ytterbium,used for catalysts,China,competitor,3,Brazil,neutral,2,Russia,competitor,3,India,ally,1,Malaysia,ally,1,10,Mediun
Yttrium,used for ceramic,China,competitor,3,Russia,competitor,3,Malaysia,ally,1,India,ally,1,Australia,ally,1,9,Mediun
Zinc,primarily used in metallurgy to produce galvanized steel,China,competitor,3,Peru,ally,1,Australia,ally,1,United States,ally,1,Canada,ally,1,7,High
Zirconium,used in the high-temperature ceramics and corrosion-resistant alloys.,Australia,ally,1,South Africa,neutral,2,China,competitor,3,Russia,competitor,3,India,ally,1,10,High
